Brand,Name,First Book Status,Second Book Status,Former Price,Current Price,Discount Percentage
Oakley,OX8139A HSTN (Low Bridge Fit) Forge Collection,New arrival,None,$ 187.00,None,None
Armani Exchange,AX3053,None,None,$ 132.00,None,None
Polo Ralph Lauren,PH2083,Best Seller,None,$ 201.00,None,None
Vogue Eyewear,VO3940,None,None,$ 128.00,None,None
Oakley,OX8078 Hyperlink,Best Seller,Sustainable,$ 187.00,None,None
Ray-Ban,RB1591 Optics Kids,Kids,None,$ 110.00,None,None
Oakley,OX5115 Wingfold™ EVS,Best Seller,None,$ 318.00,None,None
Ray-Ban,RB5279 Optics,Best Seller,None,$ 186.00,None,None
Ray-Ban,RB7330 Zena Optics Bio-based,None,Sustainable,$ 176.00,None,None
Versace,VE3350,None,Sustainable,$ 376.00,None,None
Armani Exchange,AX1069,Best Seller,None,$ 132.00,None,None
Ray-Ban,RB5383 Burbank Optics,None,None,$ 222.00,None,None
Tory Burch,TY2084,None,None,$ 228.00,None,None
Coach,HC6233U,None,Universal Fit,$ 232.00,None,None
Michael Kors,MK3070 Crested Butte,None,None,$ 164.00,None,None
Vogue Eyewear,VO5424B,None,None,$ 167.00,None,None
Ray-Ban,RB6489 Aviator Optics,Best Seller,None,$ 210.00,None,None
Armani Exchange,AX3116,None,None,$ 125.00,None,None
Oakley,OX8156 Holbrook™,Best Seller,None,$ 187.00,None,None
Ray-Ban,RB6238 Optics,None,None,$ 222.00,None,None
Ray-Ban,RB6375 Optics,Best Seller,None,$ 189.00,None,None
Tory Burch,TY2144U,None,Sustainable,$ 208.00,None,None
Scuderia Ferrari,FZ8006,None,Sustainable,$ 154.00,None,None
Coach,HC6235U,None,Universal Fit,$ 219.00,None,None
Tory Burch,TY2132U,None,Universal Fit,$ 208.00,None,None
Oakley,OX3232 Base Plane,None,None,$ 255.00,None,None
Ralph by Ralph Lauren,RA6055,None,None,$ 171.00,None,None
Ray-Ban,RB3947V Round Gaze,Best Seller,None,$ 210.00,None,None
Michael Kors,MK4091 Palawan,None,None,$ 186.00,None,None
Ray-Ban,RB5440 Optics,New arrival,None,$ 189.00,None,None
Vogue Eyewear,VO4274,None,None,$ 128.00,None,None
Oakley,OX8149 Pitchman™ R Carbon,None,None,$ 297.00,None,None
Ralph by Ralph Lauren,RA7089,Best Seller,None,$ 157.00,None,None
Oakley,OX8058 The Cut,None,Sustainable,$ 172.00,None,None
Ray-Ban,RB4340V Wayfarer Ease Optics Change,None,None,$ 268.00,None,None
Ralph by Ralph Lauren,RA7158U,Best Seller,Universal Fit,$ 141.00,None,None
Ray-Ban,RB5435 Optics,None,None,$ 189.00,None,None
Ray-Ban,RB8416 Optics,None,None,$ 276.00,None,None
Burberry,BE2073,Best Seller,None,$ 249.00,None,None
Versace,VE3304,None,None,$ 286.00,None,None
Armani Exchange,AX1034,Best Seller,None,$ 153.00,None,None
Ralph by Ralph Lauren,RA7044,None,None,$ 157.00,None,None
Scuderia Ferrari,FZ7002,None,Sustainable,$ 191.00,None,None
Ray-Ban,RB5228 Optics,None,None,$ 222.00,None,None
Oakley,OX3249 Extender,Best Seller,None,$ 208.00,None,None
Coach,HC5111,Best Seller,None,$ 232.00,None,None
Michael Kors,MK4030 Vivianna II,Best Seller,None,$ 161.00,None,None
Vogue Eyewear,VO5518,None,None,$ 128.00,None,None
Oakley,OX3036 Foil RQ,New arrival,None,$ 172.00,None,None
Michael Kors,MK4054 CaptIVa,None,None,$ 216.00,None,None
Polo Ralph Lauren,PH2237U,Best Seller,Universal Fit,$ 167.00,None,None
Armani Exchange,AX1064,Best Seller,None,$ 153.00,None,None
Oakley,OX5152 Wire Tap 2.0,None,None,$ 387.00,None,None
Coach,HC6082,Best Seller,None,$ 219.00,None,None
Ralph by Ralph Lauren,RA7170U,None,Universal Fit,$ 141.00,None,None
Coach,HC6197U,None,Universal Fit,$ 219.00,None,None
Dolce & Gabbana,DG5099,Best Seller,None,$ 232.00,None,None
Coach,HC6172,Best Seller,None,$ 232.00,None,None
Oakley,OX5099 TinCup™ 0.5 Ti,Best Seller,None,$ 414.00,None,None
Armani Exchange,AX1017,Best Seller,None,$ 138.00,None,None
Coach,HC6260U,New arrival,Universal Fit,$ 219.00,None,None
Polo Ralph Lauren,PH2126,Best Seller,None,$ 194.00,None,None
Oakley,OY8002 Crosslink® XS (Youth Fit),Kids,None,$ 135.00,None,None
Polo Ralph Lauren,PH1190,Best Seller,None,$ 181.00,None,None
Ray-Ban,RB3758V Ari Optics,New arrival,None,$ 176.00,None,None
Oakley,OX8032 Hex Jector,Best Seller,Universal Fit,$ 187.00,None,None
Emporio Armani,EA3227,None,Sustainable,$ 196.00,None,None
Ray-Ban,RB5421 Optics,Best Seller,None,$ 210.00,None,None
Ralph by Ralph Lauren,RA7071,Best Seller,None,$ 141.00,None,None
Oakley,OX5148 Wingback SQ,None,None,$ 318.00,None,None
Ray-Ban,RB3447V Round Metal Optics,Best Seller,None,$ 210.00,None,None
Ray-Ban,RB8903 Optics,Best Seller,None,$ 276.00,None,None
Michael Kors,MK4135U Tortola,None,Universal Fit,$ 161.00,None,None
Polo Ralph Lauren,PH2262,None,Sustainable,$ 181.00,None,None
Ray-Ban,RB7211 Optics,None,None,$ 189.00,None,None
Oakley,OX8140 Litebeam,Best Seller,Sustainable,$ 187.00,None,None
Oakley,OX8046 Airdrop™,Best Seller,Sustainable,$ 227.00,None,None
Ray-Ban,RB7046 Erika Optics,Best Seller,None,$ 176.00,None,None
Scuderia Ferrari,FZ7001,None,Sustainable,$ 191.00,None,None
Ray-Ban,RB5154 Clubmaster Optics,None,None,$ 222.00,None,None
Armani Exchange,AX3029,Best Seller,None,$ 132.00,None,None
Coach,HC6243U,None,Universal Fit,$ 210.00,None,None
Ray-Ban,RB5169 Optics,Best Seller,None,$ 186.00,None,None
Emporio Armani,EA1027,Best Seller,None,$ 183.00,None,None
Arnette,AN7252 Kamaya,None,None,$ 98.00,None,None
Oakley,OX3222 Steel Plate™,Best Seller,None,$ 255.00,None,None
Oakley,OX3227 Fuller™,Best Seller,None,$ 242.00,None,None
Vogue Eyewear,VO5305B,Best Seller,None,$ 181.00,None,None
Coach,HC6040 Brooklyn,Best Seller,None,$ 232.00,None,None
Emporio Armani,EA3233,None,Sustainable,$ 210.00,None,None
Burberry,BE2344 Edison,Best Seller,Sustainable,$ 327.00,None,None
Ray-Ban,RB5268 Optics,Best Seller,None,$ 176.00,None,None
Oakley,OX8060 Overhead,Best Seller,None,$ 172.00,None,None
Ray-Ban,RB6448 Hexagonal Optics,None,None,$ 210.00,None,None
Oakley,OX8178 Rafter,Best Seller,Sustainable,$ 172.00,None,None
Coach,HC6232U,None,Universal Fit,$ 210.00,None,None
Ray-Ban,RB3857V Frank Optics,None,None,$ 210.00,None,None
Oakley,OX8163 Centerboard,Best Seller,None,$ 187.00,None,None
Armani Exchange,AX3108U,None,Sustainable,$ 132.00,None,None
Michael Kors,MK4060U Telluride,Best Seller,Sustainable,$ 161.00,None,None
Michael Kors,MK4110U Avila,Best Seller,Sustainable,$ 161.00,None,None
Ray-Ban,RB0298V Mega Hawkeye Optics,None,None,$ 222.00,None,None
Tory Burch,TY2142U,None,Sustainable,$ 208.00,None,None
Ray-Ban,RB7159 Optics,Best Seller,None,$ 222.00,None,None
Ralph by Ralph Lauren,RA7133U,None,Universal Fit,$ 141.00,None,None
Oakley,OX8039 Chamfer™,None,Sustainable,$ 227.00,None,None
Ralph by Ralph Lauren,RA7146,None,None,$ 141.00,None,None
Oakley,OX3218 Socket 5.5,Best Seller,None,$ 227.00,None,None
Ray-Ban,RB6335 Optics,Best Seller,None,$ 210.00,None,None
Ray-Ban,RB1536 Optics Kids,Kids,None,$ 110.00,None,None
Michael Kors,MK3012 Adrianna IV,Best Seller,None,$ 186.00,None,None
Oakley,OX8055 Exchange,Best Seller,None,$ 242.00,None,None
Ray-Ban,RB7185,None,None,$ 162.00,None,None
Ray-Ban,RB5418 Optics,None,None,$ 210.00,None,None
Armani Exchange,AX1018,Best Seller,None,$ 153.00,None,None
Ray-Ban,RB7140 Optics,Best Seller,None,$ 237.00,None,None
Vogue Eyewear,VO5420,None,None,$ 128.00,None,None
